modelo,accuracy,precision,f1,log_loss,fp_per_class,fn_per_class
GradientBoosting (Optuna),0.9753764861294584,0.975732883125508,0.9753582508227661,0.07140572572110734,"[99, 367]","[367, 99]"
RandomForest (Optuna),0.9732100396301189,0.9740303446078087,0.9731760984145541,0.09581020929669294,"[52, 455]","[455, 52]"
DecisionTree (Optuna),0.9710964332892998,0.9717145858107762,0.9710657963851876,0.08208379040950631,"[97, 450]","[450, 97]"
LDA (Optuna),0.9236459709379128,0.9323853385448914,0.923029073269279,0.3765188238395499,"[38, 1407]","[1407, 38]"
GaussianNB (Optuna),0.9233817701453104,0.9327850090511424,0.9227251498560419,1.1933207283147866,"[16, 1434]","[1434, 16]"
QDA (Optuna),0.9230647291941876,0.9315353638090984,0.922457475688747,0.9838689249354476,"[53, 1403]","[1403, 53]"
